CsPbBr-LiSnBr.outmol:valence band edge:       -0.21555 Ha     -5.866 eV
CsPbBr-LiSnF.outmol:valence band edge:       -0.21812 Ha     -5.935 eV
CsPbBr-NaPbBr.outmol:valence band edge:       -0.20592 Ha     -5.603 eV
CsPbBr-NaPbF.outmol:valence band edge:       -0.18991 Ha     -5.168 eV
CsPbBr-NaPbI.outmol:valence band edge:       -0.21836 Ha     -5.942 eV
CsPbBr-NaSnBr.outmol:valence band edge:       -0.21564 Ha     -5.868 eV
CsPbBr-NaSnF.outmol:valence band edge:       -0.21384 Ha     -5.819 eV
CsPbBr-RbGeBr.outmol:valence band edge:       -0.21722 Ha     -5.911 eV
CsPbBr-RbGeF.outmol:valence band edge:       -0.21857 Ha     -5.948 eV
CsPbBr-RbPbBr.outmol:valence band edge:       -0.22097 Ha     -6.013 eV
CsPbBr-RbPbCl.outmol:valence band edge:       -0.21227 Ha     -5.776 eV
CsPbBr-RbPbF.outmol:valence band edge:       -0.20710 Ha     -5.635 eV
CsPbBr-RbPbI.outmol:valence band edge:       -0.22144 Ha     -6.026 eV
CsPbBr-RbSnBr.outmol:valence band edge:       -0.21606 Ha     -5.879 eV
CsPbBr-RbSnCl.outmol:valence band edge:       -0.21611 Ha     -5.881 eV
CsPbBr-RbSnF.outmol:valence band edge:       -0.21141 Ha     -5.753 eV
CsPbBr-RbSnI.outmol:valence band edge:       -0.21753 Ha     -5.919 eV
CsPbCl-CsPbBr.outmol:valence band edge:       -0.22163 Ha     -6.031 eV
CsPbCl-CsPbF.outmol:valence band edge:       -0.21207 Ha     -5.771 eV
CsPbCl-CsPbI.outmol:valence band edge:       -0.21761 Ha     -5.921 eV
CsPbCl-CsSnBr.outmol:valence band edge:       -0.22120 Ha     -6.019 eV
CsPbCl-CsSnF.outmol:valence band edge:       -0.21480 Ha     -5.845 eV
CsPbCl-RbPbBr.outmol:valence band edge:       -0.22120 Ha     -6.019 eV
CsPbCl-RbPbF.outmol:valence band edge:       -0.20404 Ha     -5.552 eV
CsPbCl-RbSnBr.outmol:valence band edge:       -0.22031 Ha     -5.995 eV
CsPbCl-RbSnF.outmol:valence band edge:       -0.21270 Ha     -5.788 eV
CsPbF-CsPbBr.outmol:valence band edge:       -0.21829 Ha     -5.940 eV
CsPbF-CsPbF.outmol:valence band edge:       -0.21048 Ha     -5.727 eV
CsPbF-CsPbI.outmol:valence band edge:       -0.21267 Ha     -5.787 eV
CsPbF-CsSnBr.outmol:valence band edge:       -0.21836 Ha     -5.942 eV
CsPbF-CsSnF.outmol:valence band edge:       -0.22229 Ha     -6.049 eV
CsPbF-RbPbBr.outmol:valence band edge:       -0.21084 Ha     -5.737 eV
CsPbF-RbPbF.outmol:valence band edge:       -0.20958 Ha     -5.703 eV
CsPbF-RbSnBr.outmol:valence band edge:       -0.21688 Ha     -5.901 eV
CsPbF-RbSnF.outmol:valence band edge:       -0.21579 Ha     -5.872 eV
CsPbI-CsPbBr.outmol:valence band edge:       -0.21232 Ha     -5.778 eV
CsPbI-CsPbF.outmol:valence band edge:       -0.20925 Ha     -5.694 eV
CsPbI-CsPbI.outmol:valence band edge:       -0.21031 Ha     -5.723 eV
CsPbI-CsSnBr.outmol:valence band edge:       -0.21138 Ha     -5.752 eV
CsPbI-CsSnF.outmol:valence band edge:       -0.21225 Ha     -5.776 eV
CsPbI-RbPbBr.outmol:valence band edge:       -0.21226 Ha     -5.776 eV
CsPbI-RbPbF.outmol:valence band edge:       -0.20760 Ha     -5.649 eV
CsPbI-RbSnBr.outmol:valence band edge:       -0.21044 Ha     -5.726 eV
CsPbI-RbSnF.outmol:valence band edge:       -0.21072 Ha     -5.734 eV
CsSnBr-CsPbBr.outmol:valence band edge:       -0.21739 Ha     -5.915 eV
CsSnBr-CsPbF.outmol:valence band edge:       -0.21774 Ha     -5.925 eV
CsSnBr-CsPbI.outmol:valence band edge:       -0.21664 Ha     -5.895 eV
CsSnBr-CsSnBr.outmol:valence band edge:       -0.21394 Ha     -5.822 eV
CsSnBr-CsSnF.outmol:valence band edge:       -0.21790 Ha     -5.929 eV
CsSnBr-RbPbBr.outmol:valence band edge:       -0.21310 Ha     -5.799 eV
CsSnBr-RbPbF.outmol:valence band edge:       -0.21617 Ha     -5.882 eV
CsSnBr-RbSnBr.outmol:valence band edge:       -0.21262 Ha     -5.786 eV
CsSnBr-RbSnF.outmol:valence band edge:       -0.21143 Ha     -5.753 eV
KGeBr-CsPbBr.outmol:valence band edge:       -0.21854 Ha     -5.947 eV
KGeBr-CsPbF.outmol:valence band edge:       -0.22156 Ha     -6.029 eV
KGeBr-CsPbI.outmol:valence band edge:       -0.21186 Ha     -5.765 eV
KGeBr-CsSnBr.outmol:valence band edge:       -0.21315 Ha     -5.800 eV
KGeBr-CsSnF.outmol:valence band edge:       -0.21631 Ha     -5.886 eV
KGeBr-RbPbBr.outmol:valence band edge:       -0.21770 Ha     -5.924 eV
KGeBr-RbPbF.outmol:valence band edge:       -0.20482 Ha     -5.574 eV
KGeBr-RbSnBr.outmol:valence band edge:       -0.21178 Ha     -5.763 eV
KGeBr-RbSnF.outmol:valence band edge:       -0.21741 Ha     -5.916 eV
KPbBr-CsPbBr.outmol:valence band edge:       -0.20790 Ha     -5.657 eV
KPbBr-CsPbF.outmol:valence band edge:       -0.19995 Ha     -5.441 eV
KPbBr-CsPbI.outmol:valence band edge:       -0.21077 Ha     -5.735 eV
KPbBr-CsSnBr.outmol:valence band edge:       -0.21187 Ha     -5.765 eV
KPbBr-CsSnF.outmol:valence band edge:       -0.20431 Ha     -5.560 eV
KPbBr-RbPbBr.outmol:valence band edge:       -0.19402 Ha     -5.279 eV
KPbBr-RbPbF.outmol:valence band edge:       -0.19033 Ha     -5.179 eV
KPbBr-RbSnBr.outmol:valence band edge:       -0.20269 Ha     -5.516 eV
KPbBr-RbSnF.outmol:valence band edge:       -0.19834 Ha     -5.397 eV
LiGeBr-CsPbBr.outmol:valence band edge:       -0.21796 Ha     -5.931 eV
LiGeBr-CsPbF.outmol:valence band edge:       -0.20950 Ha     -5.701 eV
LiGeBr-CsPbI.outmol:valence band edge:       -0.20991 Ha     -5.712 eV
LiGeBr-CsSnBr.outmol:valence band edge:       -0.21022 Ha     -5.721 eV
LiGeBr-CsSnF.outmol:valence band edge:       -0.21664 Ha     -5.895 eV
LiGeBr-RbPbBr.outmol:valence band edge:       -0.21710 Ha     -5.908 eV
LiGeBr-RbPbF.outmol:valence band edge:       -0.19882 Ha     -5.410 eV
LiGeBr-RbSnBr.outmol:valence band edge:       -0.20247 Ha     -5.510 eV
LiGeBr-RbSnF.outmol:valence band edge:       -0.21433 Ha     -5.832 eV
LiPbBr-CsPbBr.outmol:valence band edge:       -0.18158 Ha     -4.941 eV
LiPbBr-CsPbF.outmol:valence band edge:       -0.18800 Ha     -5.116 eV
LiPbBr-CsPbI.outmol:valence band edge:       -0.18129 Ha     -4.933 eV
LiPbBr-CsSnBr.outmol:valence band edge:       -0.19287 Ha     -5.248 eV
LiPbBr-RbPbF.outmol:valence band edge:       -0.18812 Ha     -5.119 eV
LiPbBr-RbSnBr.outmol:valence band edge:       -0.18460 Ha     -5.023 eV
LiPbBr-RbSnF.outmol:valence band edge:       -0.19510 Ha     -5.309 eV
NaGeBr-CsPbBr.outmol:valence band edge:       -0.21813 Ha     -5.936 eV
NaGeBr-CsPbF.outmol:valence band edge:       -0.22114 Ha     -6.018 eV
NaGeBr-CsSnBr.outmol:valence band edge:       -0.21510 Ha     -5.853 eV
NaGeBr-CsSnF.outmol:valence band edge:       -0.21552 Ha     -5.865 eV
NaGeBr-RbPbBr.outmol:valence band edge:       -0.21733 Ha     -5.914 eV
NaGeBr-RbPbF.outmol:valence band edge:       -0.19786 Ha     -5.384 eV
NaGeBr-RbSnBr.outmol:valence band edge:       -0.20758 Ha     -5.649 eV
NaGeBr-RbSnF.outmol:valence band edge:       -0.20970 Ha     -5.706 eV
NaPbBr-CsPbBr.outmol:valence band edge:       -0.21661 Ha     -5.894 eV
NaPbBr-CsPbF.outmol:valence band edge:       -0.19047 Ha     -5.183 eV
NaPbBr-CsPbI.outmol:valence band edge:       -0.21383 Ha     -5.819 eV
NaPbBr-CsSnBr.outmol:valence band edge:       -0.20277 Ha     -5.518 eV
NaPbBr-CsSnF.outmol:valence band edge:       -0.19868 Ha     -5.406 eV
NaPbBr-RbPbBr.outmol:valence band edge:       -0.21683 Ha     -5.900 eV
NaPbBr-RbPbF.outmol:valence band edge:       -0.18574 Ha     -5.054 eV
NaPbBr-RbSnBr.outmol:valence band edge:       -0.19779 Ha     -5.382 eV
NaPbBr-RbSnF.outmol:valence band edge:       -0.19463 Ha     -5.296 eV
NaPbBr-RbSnI.outmol:valence band edge:       -0.19633 Ha     -5.342 eV
RbGeBr-CsPbBr.outmol:valence band edge:       -0.21857 Ha     -5.947 eV
RbGeBr-CsPbF.outmol:valence band edge:       -0.22130 Ha     -6.022 eV
RbGeBr-CsSnBr.outmol:valence band edge:       -0.21334 Ha     -5.805 eV
RbGeBr-CsSnF.outmol:valence band edge:       -0.21615 Ha     -5.882 eV
RbGeBr-CsSnI.outmol:valence band edge:       -0.20915 Ha     -5.691 eV
RbGeBr-RbPbBr.outmol:valence band edge:       -0.21545 Ha     -5.863 eV
RbGeBr-RbPbF.outmol:valence band edge:       -0.20722 Ha     -5.639 eV
RbGeBr-RbSnBr.outmol:valence band edge:       -0.21207 Ha     -5.771 eV
RbGeBr-RbSnF.outmol:valence band edge:       -0.21450 Ha     -5.837 eV
RbGeBr-RbSnI.outmol:valence band edge:       -0.21456 Ha     -5.838 eV
RbPbBr-CsPbBr.outmol:valence band edge:       -0.20862 Ha     -5.677 eV
RbPbBr-CsPbF.outmol:valence band edge:       -0.20471 Ha     -5.570 eV
RbPbBr-CsPbI.outmol:valence band edge:       -0.20597 Ha     -5.605 eV
RbPbBr-CsSnBr.outmol:valence band edge:       -0.21242 Ha     -5.780 eV
RbPbBr-CsSnF.outmol:valence band edge:       -0.21284 Ha     -5.792 eV
RbPbBr-CsSnI.outmol:valence band edge:       -0.21185 Ha     -5.765 eV
RbPbBr-RbPbBr.outmol:valence band edge:       -0.19460 Ha     -5.295 eV
RbPbBr-RbPbF.outmol:valence band edge:       -0.19096 Ha     -5.196 eV
RbPbBr-RbSnBr.outmol:valence band edge:       -0.21160 Ha     -5.758 eV
RbPbBr-RbSnF.outmol:valence band edge:       -0.19980 Ha     -5.437 eV
RbPbBr-RbSnI.outmol:valence band edge:       -0.20404 Ha     -5.552 eV
