,Unnamed: 0,2D-A,2D-B,2D-X,3D-A,3D-B,3D-X,2D-A NumberofProtons,2D-A NumberofNeutrons,2D-A NumberofShells,2D-A SpecificHeat,2D-A Density,2D-A Ion Radius,2D-A FirstIonization,2D-A AtomicMass,2D-A MeltingPoint,2D-B NumberofProtons,2D-B NumberofNeutrons,2D-B NumberofShells,2D-B SpecificHeat,2D-B Density,2D-B Ion Radius,2D-B FirstIonization,2D-B AtomicMass,2D-B MeltingPoint,2D-X NumberofProtons,2D-X NumberofNeutrons,2D-X NumberofShells,2D-X SpecificHeat,2D-X Density,2D-X Ion Radius,2D-X FirstIonization,2D-X AtomicMass,2D-X MeltingPoint,3D-A NumberofProtons,3D-A NumberofNeutrons,3D-A NumberofShells,3D-A SpecificHeat,3D-A Density,3D-A Ion Radius,3D-A FirstIonization,3D-A AtomicMass,3D-A MeltingPoint,3D-B NumberofProtons,3D-B NumberofNeutrons,3D-B NumberofShells,3D-B SpecificHeat,3D-B Density,3D-B Ion Radius,3D-B FirstIonization,3D-B AtomicMass,3D-B MeltingPoint,3D-X NumberofProtons,3D-X NumberofNeutrons,3D-X NumberofShells,3D-X SpecificHeat,3D-X Density,3D-X Ion Radius,3D-X FirstIonization,3D-X AtomicMass,3D-X MeltingPoint
17,17,Cs,Ge,Br,Na,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
18,18,Cs,Ge,Br,Na,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
19,19,Cs,Ge,Br,Na,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,11.0,12.0,3.0,1.228,0.971,102.0,5.1391,22.99,371.15,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
20,20,Cs,Ge,Br,Rb,Ge,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
21,21,Cs,Ge,Br,Rb,Ge,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
22,22,Cs,Ge,Br,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
23,23,Cs,Ge,Br,Rb,Pb,Cl,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31
24,24,Cs,Ge,Br,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
25,25,Cs,Ge,Br,Rb,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
26,26,Cs,Ge,Br,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
27,27,Cs,Ge,Br,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
28,28,Cs,Ge,Br,Rb,Sn,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
29,29,Cs,Ge,Cl,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
30,30,Cs,Ge,Cl,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
31,31,Cs,Ge,Cl,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
32,32,Cs,Ge,Cl,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
33,33,Cs,Ge,Cl,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
34,34,Cs,Ge,Cl,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
35,35,Cs,Ge,Cl,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
36,36,Cs,Ge,Cl,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
