CsPbBr-CsSnCl.outmol:conduction band edge:    -0.09311 Ha     -2.534 eV
CsPbBr-CsSnF.outmol:conduction band edge:    -0.09900 Ha     -2.694 eV
CsPbBr-CsSnI.outmol:conduction band edge:    -0.09256 Ha     -2.519 eV
CsPbBr-KPbBr.outmol:conduction band edge:    -0.09012 Ha     -2.452 eV
CsPbBr-KPbF.outmol:conduction band edge:    -0.09847 Ha     -2.679 eV
CsPbBr-KPbI.outmol:conduction band edge:    -0.08824 Ha     -2.401 eV
CsPbBr-KSnBr.outmol:conduction band edge:    -0.09279 Ha     -2.525 eV
CsPbBr-KSnF.outmol:conduction band edge:    -0.09850 Ha     -2.680 eV
CsPbBr-LiPbBr.outmol:conduction band edge:    -0.12033 Ha     -3.274 eV
CsPbBr-LiPbF.outmol:conduction band edge:    -0.12398 Ha     -3.374 eV
CsPbBr-LiPbI.outmol:conduction band edge:    -0.11891 Ha     -3.236 eV
CsPbBr-LiSnBr.outmol:conduction band edge:    -0.09830 Ha     -2.675 eV
CsPbBr-LiSnF.outmol:conduction band edge:    -0.10323 Ha     -2.809 eV
CsPbBr-NaPbBr.outmol:conduction band edge:    -0.10089 Ha     -2.745 eV
CsPbBr-NaPbF.outmol:conduction band edge:    -0.11432 Ha     -3.111 eV
CsPbBr-NaPbI.outmol:conduction band edge:    -0.09780 Ha     -2.661 eV
CsPbBr-NaSnBr.outmol:conduction band edge:    -0.09910 Ha     -2.697 eV
CsPbBr-NaSnF.outmol:conduction band edge:    -0.10632 Ha     -2.893 eV
CsPbBr-RbGeBr.outmol:conduction band edge:    -0.09449 Ha     -2.571 eV
CsPbBr-RbGeF.outmol:conduction band edge:    -0.09597 Ha     -2.612 eV
CsPbBr-RbPbBr.outmol:conduction band edge:    -0.09023 Ha     -2.455 eV
CsPbBr-RbPbCl.outmol:conduction band edge:    -0.09549 Ha     -2.598 eV
CsPbBr-RbPbF.outmol:conduction band edge:    -0.09854 Ha     -2.681 eV
CsPbBr-RbPbI.outmol:conduction band edge:    -0.08838 Ha     -2.405 eV
CsPbBr-RbSnBr.outmol:conduction band edge:    -0.09192 Ha     -2.501 eV
CsPbBr-RbSnCl.outmol:conduction band edge:    -0.09318 Ha     -2.536 eV
CsPbBr-RbSnF.outmol:conduction band edge:    -0.09730 Ha     -2.648 eV
